,Network Speed (congested) [km/h],Network Speed (freeflow) [km/h],Circuity [ ],Average Airline Speed [km/h],Airline Radius [km],Area covered in 30 mins [km2],Urbanized area density [people/km2],Area [km2],Population,Accessibility,"MinPA,P",.,Employment Density,Employment,Employment Accessibility,"Min EA, E"
Area,S_n,,C1,S_a,R_a,A_30,D_UA,,,,0,.,,,,
Atlanta,57.03647421430639,70.72522802573992,1.2545032030514984,45.46538747415617,22.732693737078083,1623.4976888069552,1103.9402173913043,2944,3250000,1792244.3915158303,1792244.3915158303,.,643.6263586956521,1894836,1044925.9057976276,1044925.9057976276
Austin*,62.91283254924397,73.60801408261544,1.3588386571923918,46.29897171105902,23.14948585552951,1683.575404459588,1074.2049469964663,707.5,760000,1808505.0281120662,760000,.,678.0650176678445,479731,1141573.586370039,479731
Baltimore,60.83258633343933,72.3907777367928,1.2525850225273614,48.56563445944485,24.282817229722426,1852.4564840931143,1394.5910720104268,1534.5,2140000,2583419.2740040827,2140000,.,646.3010752688172,991749,1197244.6175580723,991749
Boston,59.83079890124905,71.19865069248635,1.225722635583782,48.81267357255998,24.40633678627999,1871.350219331193,1594.3159171648906,2308.2,3680000,2983523.44126973,2983523.44126973,.,1247.093839355342,2878542,2333749.329804199,2333749.329804199
Buffalo,66.3074000447049,68.95969604649311,1.2376013427301835,53.57734979377843,26.788674896889216,2254.5108835132573,1446.923597025017,739.5,1070000,3262104.9971050513,1070000,.,630.655848546315,466370,1421820.4742989556,466370
Charlotte,61.90555117774364,69.95327283085031,1.2806694088372974,48.33843203449894,24.16921601724947,1835.1644992615222,1054.1447053186391,626.1,660000,1934528.9402852652,660000,.,1161.0174093595272,726913,2130657.9326811866,726913
Chicago,54.90711035772174,71.37924346503826,1.230649613698569,44.616363379585394,22.308181689792697,1563.429198732013,1887.2752083434864,4103.8,7745000,2950621.16676725,2950621.16676725,.,977.8527218675374,4012912,1528803.497427282,1528803.497427282
Cincinnati,64.6942394457141,75.04531775702836,1.32925920589698,48.66939356802018,24.33469678401009,1860.3803817384123,980.9840024147298,1325.2,1300000,1825003.3928915907,1300000,.,673.1580138846966,892069,1252329.9628410833,892069
Cleveland,68.27247746828684,75.7824499897984,1.2227035028236048,55.83731240699346,27.91865620349673,2448.7186796296824,1074.6812386156648,1647,1770000,2631592.0236457423,1770000,.,633.3284760170006,1043092,1550843.2695642288,1043092
Columbus,64.2119899738127,73.8437884698846,1.238729191124403,51.83698780483815,25.918493902419076,2110.422438409151,1130.6392029553342,893.3,1010000,2386126.343661975,1010000,.,810.5294973693049,724046,1710559.6382406717,724046
Dallas-Fort Worth,62.831555497974,72.88460437764984,1.2669462965142195,49.592911452398575,24.796455726199287,1931.6529057672485,936.4548494983278,3737.5,3500000,1808905.7311532763,1808905.7311532763,.,638.19745819398,2385263,1232775.9745736734,1232775.9745736734
Denver,57.28836754482401,69.89180840468529,1.3381636172769695,42.81118303111556,21.40559151555778,1439.4757059677281,1455.7388084819925,1188.4,1730000,2095500.6490442355,1730000,.,816.1511275664759,969914,1174829.7205301102,969914
Detroit,53.47554626936523,67.3791882994002,1.2390009620459046,43.16021367817467,21.580106839087335,1463.0428755126077,1384.7692626060564,2899.4,4015000,2025976.803884638,2025976.803884638,.,664.661999034283,1927121,972429.0023110755,972429.0023110755
Grand Rapids*,60.555305265855225,66.0052827397822,1.2825248470877721,47.21569753861541,23.607848769307704,1750.905478294517,830.1625735039778,578.2,480000,1453536.1978231894,480000,.,892.0338983050847,515774,1561867.0393667868,515774
Hampton Roads,59.15854462057336,68.03232631365935,1.343794250426778,44.02351372003943,22.011756860019716,1522.1564302431589,823.2008842864623,1718.9,1415000,1253040.519398493,1253040.519398493,.,318.1703414974693,546903,484305.03122303466,484305.03122303466
Hartford,70.47677732823752,76.11491951449653,1.3223701939914507,53.295799957128466,26.647899978564233,2230.878160213814,1344.215074411906,624.9,840000,2998780.0521357083,840000,.,872.5332053128501,545246,1946515.2717937932,545246
Honolulu*,62.58910549158635,75.73281764481948,1.3847021462356206,45.20041054441769,22.600205272208846,1604.6290125310802,1948.7750556792873,359.2,700000,3127060.993239856,700000,.,861.6007795100223,309487,1382549.6080211762,309487
Houston,61.721940346898506,73.44910901280922,1.3274915886326069,46.49516492264608,23.24758246132304,1697.8740333059,996.9501196996031,3049.3,3040000,1692695.7207391649,1692695.7207391649,.,577.5217262978388,1761037,980559.1427510976,980559.1427510976
Indianapolis,56.48183327897167,70.03747326592487,1.2722485093794627,44.39528351777798,22.19764175888899,1547.973597563568,811.1001317523056,1214.4,985000,1255561.5889329007,985000,.,628.129117259552,762800,972327.289378697,762800
Inland Empire,63.44018148312473,74.22501233525594,1.3453291884115326,47.15587978733317,23.577939893666585,1746.4718306247296,1191.6750587445451,1191.6,1420000,2081226.921355418,1420000,.,643.6329305135952,766953,1124086.782404438,766953
Jacksonville*,57.21579506946269,68.65895408335523,1.367147891752108,41.85047968448836,20.92523984224418,1375.5955484292488,612.2138565670393,1314.9,805000,842158.6557803219,805000,.,349.42505133470223,459459,480667.5451256781,459459
Kansas City,68.43666910833399,73.22723594591737,1.282664978615757,53.35506172639902,26.67753086319951,2235.8421269581163,674.0661902589834,1973.1,1330000,1507105.5845391997,1330000,.,418.4739749632558,825691,935641.7422584633,825691
Las Vegas,52.88987219435415,65.58344152099914,1.3334070755044698,39.66521039671568,19.83260519835784,1235.689640901766,1595.2980688497062,595.5,950000,1971293.2978281744,950000,.,983.4525608732158,585646,1215242.1417893462,585646
Los Angeles,50.5624167921016,71.79863184478427,1.2409046304531934,40.74641640561499,20.373208202807493,1303.9733620943348,2374.639090212716,5091.3,12090000,3096466.1182253077,3096466.1182253077,.,975.7058118751595,4967611,1272294.3879258342,1272294.3879258342
Louisville*,61.3104985606684,71.12017833037534,1.3589321966589822,45.1166722750436,22.5583361375218,1598.6890491977927,1127.3572014211534,731.8,825000,1802293.612446268,825000,.,674.6884394643346,493737,1078617.0197919796,493737
Memphis,58.655633023171944,65.10775265572087,1.3312259917708142,44.06136402516259,22.030682012581295,1524.774978742676,1052.8699196196083,883.3,930000,1605389.7093067912,930000,.,578.7274991509114,511190,882429.2102156329,511190
Milwaukee,59.41822146720683,67.14259025794371,1.2176020802066099,48.79937578385575,24.399687891927876,1870.3307533456325,942.684766214178,1326,1250000,1763132.308960815,1250000,.,580.1975867269985,769342,1085161.389472425,769342
Minneapolis-St.Paul,61.66632499476936,72.14960024388014,1.238339103200245,49.797607808236705,24.898803904118353,1947.631734874181,806.3637354255203,2753.1,2220000,1570499.6009664312,1570499.6009664312,.,558.9905924230867,1538957,1088707.8172993225,1088707.8172993225
Nashville,63.17399629918647,71.3866158180807,1.353332701277282,46.68031463332154,23.34015731666077,1711.4232614563832,511.10046318479476,1252.2,640000,874709.2216355896,640000,.,488.7677687270404,612035,836488.5288495907,612035
New Orleans,58.96510158865814,67.80986682695686,1.376352580700282,42.841567208496066,21.420783604248033,1441.5196955431145,1551.107934238742,699.5,1085000,2235952.6371183405,1085000,.,763.5253752680486,534086,1100636.8664958396,534086
New York,58.66228344563627,72.1546086381326,1.2603547141344449,46.54426471195682,23.27213235597841,1701.4619020706896,2117.6348088662126,7683.1,16270000,3603074.949784607,3603074.949784607,.,958.8491624474495,7366934,1631445.3197367252,1631445.3197367252
Oklahoma City,65.42815555265673,70.0081264413427,1.2964577542802127,50.466862754800786,25.233431377400393,2000.333909548546,447.68101235599596,1675.3,750000,895511.5096767204,750000,.,254.53650092520743,426425,509157.9940185273,426425
Orlando,51.61067058950246,65.0294449427731,1.324733586718084,38.959282913150524,19.479641456575262,1192.0975368563613,1012.6210742588787,1022.1,1035000,1207143.0883928519,1035000,.,729.7769298503082,745905,869965.28052915,745905
Philadelphia,57.52740750803016,67.30706678439529,1.2151792961844514,47.34067449030839,23.670337245154194,1760.1868167419339,1548.7679501210491,3015.3,4670000,2726120.9279954997,2726120.9279954997,.,794.6519417636719,2396114,1398735.8717907942,1398735.8717907942
Phoenix,55.21753142084168,64.60451176238476,1.3855038567192821,39.853755118077125,19.926877559038562,1247.4650222570913,1156.611441075336,1919.4,2220000,1442832.3170838505,1442832.3170838505,.,663.9048661039908,1274299,828198.0985710061,828198.0985710061
Pittsburgh,60.20637788513169,66.22701567364486,1.3073565469845398,46.05199555086915,23.025997775434575,1665.6616604367257,880.80587534736,2015.2,1775000,1467124.5768535074,1467124.5768535074,.,499.6437078205637,1006882,832237.3679951624,832237.3679951624
Portland,60.024289113865244,72.02914693663828,1.4034944459182461,42.767742536091,21.3838712680455,1436.5559169102157,1323.51477758981,1004.9,1330000,1901302.9848647497,1330000,.,831.4747736093144,835549,1194460.0057900427,835549
Providence*,67.44574311953811,72.84140256910116,1.2391400975948115,54.429473511874285,27.214736755937142,2326.7951415976845,1480.0930713547052,773.6,1145000,3443873.367540523,1145000,.,485.894519131334,375888,1130577.006443731,375888
Raleigh*,61.55862751399648,68.3300765405361,1.241360386279098,49.589650350060474,24.794825175030237,1931.3988730634026,1338.5999561114768,455.7,610000,2585370.4467164264,610000,.,1185.32367785824,540152,2289332.815630772,540152
Rochester,71.96311313523455,75.56126879199628,1.2570037934255704,57.24971834740578,28.62485917370289,2574.166239502894,1096.6836287067906,569.9,625000,2823045.9724325472,625000,.,799.0033339182313,455352,2056767.4074225684,455352
Sacramento,57.71815855767841,69.26179026921409,1.4511940967956416,39.772873032714884,19.886436516357442,1242.4067692662613,1434.023360703134,864.7,1240000,1781640.330623527,1240000,.,583.354920781774,504427,724764.1024640597,504427
Salt Lake City,58.26615155396771,69.33672034922158,1.3833656311611033,42.11912616700116,21.05956308350058,1393.3126695658539,1268.8041331104696,658.1,835000,1767840.8738603373,835000,.,896.2467710074457,589820,1248751.9811021606,589820
San Antonio,68.2587579493619,75.08463374429809,1.3944576902357904,48.9500387335667,24.47501936678335,1881.8974810557559,1075.3635962979286,1134.5,1220000,2023724.0430921305,1220000,.,504.9775231379462,572897,950315.9287830757,572897
San Diego,61.11470808433752,73.9487967820484,1.4004144662812563,43.64044328007061,21.820221640035307,1495.7816049274522,1429.3706293706293,1787.5,2555000,2138026.2940361626,2138026.2940361626,.,537.6302097902098,961014,804177.3780574829,804177.3780574829
San Francisco,56.191337145660896,74.17256503227239,1.4169328618734882,39.65702162582632,19.82851081291316,1235.1794842802951,1713.856619108618,2263.9,3880000,2116920.5349209527,2116920.5349209527,.,816.733954679977,1849004,1008813.02493582,1008813.02493582
San Jose,57.51204127050691,71.31493117542857,1.415239926121528,40.63766164944127,20.318830824720635,1297.0218771189434,1768.1953000228154,876.6,1550000,2293387.9871484856,1550000,.,1079.5836185261237,946363,1400243.5714076143,946363
Seattle,56.59809898288729,73.01154768792459,1.407578059972719,40.20956321526086,20.10478160763043,1269.838798714314,1664.8059368227491,1522.7,2535000,2114035.170907458,2114035.170907458,.,892.9066789255927,1359629,1133847.5445308622,1133847.5445308622
South Florida,55.64850404058481,69.56063005073102,1.2685017433180505,43.869473836924875,21.934736918462438,1511.5229044578125,4685.789358440989,913.4,4280000,7082677.940748234,4280000,.,1556.350996277644,1421571,2352460.1782493945,1421571
St. Louis,61.48108994821507,72.54768613889378,1.3586289847100899,45.252302608084115,22.626151304042057,1608.315497112178,1057.7942735949098,1886,1995000,1701266.9229792126,1701266.9229792126,.,632.7311770943796,1193331,1017631.3576269207,1017631.3576269207
Tampa Bay,49.70438535125249,64.11865710311571,1.274255931913912,39.00659522659416,19.50329761329708,1194.9946712406245,1087.5378855410947,1682.7,1830000,1299601.9779939044,1299601.9779939044,.,580.5449575087656,976883,693748.1306385896,693748.1306385896
Washington,53.45540836253367,69.49203087129376,1.293883205176546,41.31393633418393,20.656968167091964,1340.5500500536455,1434.643995749203,2446.6,3510000,1923212.080310756,1923212.080310756,.,840.1287501021826,2055459,1126234.6380009875,1126234.6380009875
,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,
1 Circuity is from a sample of OD points with network distance matched to average commute distance,,,,,,,,,,,,,,,,
* Circuitry is from 2001 commute distance; 1995 commute distance unavailable,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Data Sources:,,,,,,,,,,,,,,,,
"Network Speed (congested), Network Speed (freeflow), Population: TTI complete data 1982-2007 (calculated from 1995 values only)",,,,,,,,,,,,,,,,
"Circuity: Networks are Census Tiger 2008 county-level shapefiles merged together, commute distances are from 1995 NPTS",,,,,,,,,,,,,,,,
Urbanized Area: Census 1990 Population and Housing Unit Counts (census.gov),,,,,,,,,,,,,,,,
Employment: 1998 MSA Business Patterns (NAICS - from Censtats),,,,,,,,,,,,,,,,
