Freeway Speed,Freeway km/h,Arterial Speed,Arterial km/h,Metro area,Network Speed (congested) [km/h],Network Speed (freeflow) [km/h],,25%Wgt Average Speed
41.9,67.04,26.7,42.72,Atlanta,52.31679,68.53499,,48.800000000000004
46.1,73.76,26.6,42.56,Austin,53.19888,67.56258,,50.36000000000001
43.9,70.24,27.7,44.32,Baltimore,57.5626,71.37762,,50.800000000000004
45.7,73.12,28.4,45.44,Boston,60.28802,74.15427,,52.35999999999999
56.2,89.92,32.5,52,Buffalo,60.07548,64.28076,,61.48
49.6,79.36,26.7,42.72,Charlotte,54.73937,66.78204,,51.879999999999995
41,65.6,24.7,39.52,Chicago,47.50277,64.12874,,46.04
50.3,80.48,30.1,48.16,Cincinnati,59.70134,70.44758,,56.24000000000001
55.6,88.96,32,51.2,Cleveland,62.77554,69.05309,,60.64
50.5,80.8,29.3,46.88,Columbus,60.79675,71.13219,,55.36000000000001
42.5,68,27.9,44.64,Dallas-Fort Worth,56.96404,70.06577,,50.48
45.1,72.16,26.5,42.4,Denver,50.87279,67.15208,,49.84
47.5,76,26.4,42.24,Detroit,50.51411,65.16321,,50.68
51.3,82.08,28.9,46.24,Virginia Beach,54.51603,64.32891,,55.2
53.7,85.92,30.8,49.28,Hartford,68.56857,75.42543,,58.44000000000001
41.6,66.56,27.3,43.68,Houston,53.7673,68.82214,,49.400000000000006
51.6,82.56,27.7,44.32,Indianapolis,53.33619,65.07016,,53.879999999999995
39.9,63.84,28.8,46.08,Inland Empire1,57.81975,71.69648,,50.52000000000001
50.1,80.16,26.9,43.04,Jacksonville,54.3979,63.64554,,52.31999999999999
56.4,90.24,32.3,51.68,Kansas City,63.34106,69.04175,,61.31999999999999
44.8,71.68,27.1,43.36,Las Vegas,50.76474,64.47121,,50.440000000000005
34.6,55.36,25.8,41.28,Los Angeles,47.96656,70.9905,,44.800000000000004
50.6,80.96,28.3,45.28,Louisville,57.96375,68.97688,,54.2
50.9,81.44,31.8,50.88,Memphis,57.32139,64.77317,,58.52000000000001
41.6,66.56,25.5,40.8,Miami,59.82909,81.36757,,47.24
49.6,79.36,32.2,51.52,Milwaukee,57.25628,65.84471,,58.48000000000001
45.6,72.96,29.4,47.04,Minneapolis-St.Paul,55.30265,69.68134,,53.519999999999996
53.8,86.08,29.1,46.56,Nashville,60.80458,70.53332,,56.44000000000001
52.6,84.16,29.3,46.88,New Orleans,56.71207,65.21888,,56.2
41.5,66.4,26.1,41.76,New York,51.8687,66.91063,,47.92000000000001
55.6,88.96,30.5,48.8,Oklahoma City,59.51772,65.46949,,58.84
48.6,77.76,25.2,40.32,Orlando,45.74069,60.83512,,49.68
45.2,72.32,27.6,44.16,Philadelphia,52.86588,66.61101,,51.2
42.2,67.52,28.5,45.6,Phoenix,52.44265,67.12659,,51.080000000000005
56.2,89.92,31.6,50.56,Pittsburgh,58.55113,64.40624,,60.400000000000006
44.6,71.36,27.4,43.84,Portland,53.08795,67.95258,,50.72
51.6,82.56,29.8,47.68,Providence,62.4824,71.22993,,56.400000000000006
53.4,85.44,28.7,45.92,Raleigh,61.62895,70.25701,,55.800000000000004
43.4,69.44,26.8,42.88,Sacramento,53.29741,67.68771,,49.52000000000001
54,86.4,27.4,43.84,Salt Lake City,52.23418,63.7257,,54.48
48.8,78.08,27.7,44.32,San Antonio,59.60624,71.52749,,52.75999999999999
42.1,67.36,25.7,41.12,San Diego,53.16983,70.71587,,47.68
38.5,61.6,26,41.6,San Francisco,53.32521,72.52228,,46.6
43.7,69.92,25.1,40.16,San Jose1,50.66389,67.88962,,47.60000000000001
43.8,70.08,27.9,44.64,Seattle,58.18665,73.89704,,51
53.4,85.44,30.1,48.16,St. Louis,56.50248,66.67293,,57.48000000000001
49.4,79.04,25.3,40.48,Tampa Bay,47.58084,59.95186,,50.120000000000005
41.5,66.4,25.1,40.16,Washington,49.55658,67.39695,,46.720000000000006
