t,US Average Circuity 1990,US Aveage Circuity 2000,US Average Circuity 2010,Minneapolis estimated 2010,Minneapolis observed 2010,,beta1990,0.386,0.386,,beta1990,zeta1990,beta2000,zeta2000,beta2010,zeta2010
10,1.354402260733394,1.3693002532590308,1.3639228686272187,1.3591764912955777,1.368,,zeta1990,-0.03589,-0.03589,,0.386,-0.03589,0.4044,-0.3913,0.4021,-0.3984
20,1.3211243689711,1.3326600682848295,1.3267734617854179,1.3059437921425063,1.303,,beta2000,0.4044,0.4044,,,,,,,
30,1.3020383863717238,1.3116831324552436,1.305513299401901,1.2757764618286915,1.27,,zeta2000,-0.03913,-0.03913,,,,,,,
40,1.2886641206167129,1.2970003133892385,1.2906358998656735,1.2547959732660356,1.249,,beta2010,0.4021,0.4021,,,,,,,
50,1.2783849128025366,1.2857247148494717,1.2792129467542286,1.2387601420656624,1.234,,zeta2010,-0.03984,-0.03984,,,,,,,
60,1.2700470838257816,1.2765846852839142,1.26995480426084,1.2258101586929147,1.224,,betaMPLS2010,0.4396,,,,,,,,
,,,,,1.215,,zetaMPLS2010,-0.05764,,,,,,,,
,,,,,1.21,,,,,,,,,,,
,,,,,1.205,,,,,,,,,,,
